image,mask,chip_id,xmin,ymin,xmax,ymax,crs,width_px,height_px
data/annotations/moema_seg/images/r0000_c0000.png,data/annotations/moema_seg/masks/r0000_c0000.png,r0000_c0000,329279.545,7387731.057,329381.945,7387833.457,EPSG:31983,1024,1024
data/annotations/moema_seg/images/r0000_c0001.png,data/annotations/moema_seg/masks/r0000_c0001.png,r0000_c0001,329381.945,7387731.057,329484.345,7387833.457,EPSG:31983,1024,1024
data/annotations/moema_seg/images/r0000_c0002.png,data/annotations/moema_seg/masks/r0000_c0002.png,r0000_c0002,329484.345,7387731.057,329586.745,7387833.457,EPSG:31983,1024,1024
data/annotations/moema_seg/images/r0000_c0003.png,data/annotations/moema_seg/masks/r0000_c0003.png,r0000_c0003,329586.745,7387731.057,329689.145,7387833.457,EPSG:31983,1024,1024
data/annotations/moema_seg/images/r0000_c0004.png,data/annotations/moema_seg/masks/r0000_c0004.png,r0000_c0004,329689.145,7387731.057,329791.545,7387833.457,EPSG:31983,1024,1024
data/annotations/moema_seg/images/r0000_c0005.png,data/annotations/moema_seg/masks/r0000_c0005.png,r0000_c0005,329791.545,7387731.057,329893.945,7387833.457,EPSG:31983,1024,1024
data/annotations/moema_seg/images/r0000_c0006.png,data/annotations/moema_seg/masks/r0000_c0006.png,r0000_c0006,329893.945,7387731.057,329996.345,7387833.457,EPSG:31983,1024,1024
data/annotations/moema_seg/images/r0000_c0007.png,data/annotations/moema_seg/masks/r0000_c0007.png,r0000_c0007,329996.345,7387731.057,330098.745,7387833.457,EPSG:31983,1024,1024
data/annotations/moema_seg/images/r0000_c0008.png,data/annotations/moema_seg/masks/r0000_c0008.png,r0000_c0008,330098.745,7387731.057,330201.145,7387833.457,EPSG:31983,1024,1024
data/annotations/moema_seg/images/r0000_c0009.png,data/annotations/moema_seg/masks/r0000_c0009.png,r0000_c0009,330201.145,7387731.057,330303.545,7387833.457,EPSG:31983,1024,1024
data/annotations/moema_seg/images/r0000_c0010.png,data/annotations/moema_seg/masks/r0000_c0010.png,r0000_c0010,330303.545,7387731.057,330405.945,7387833.457,EPSG:31983,1024,1024
data/annotations/moema_seg/images/r0000_c0011.png,data/annotations/moema_seg/masks/r0000_c0011.png,r0000_c0011,330405.945,7387731.057,330508.345,7387833.457,EPSG:31983,1024,1024
data/annotations/moema_seg/images/r0000_c0012.png,data/annotations/moema_seg/masks/r0000_c0012.png,r0000_c0012,330508.345,7387731.057,330610.745,7387833.457,EPSG:31983,1024,1024
data/annotations/moema_seg/images/r0000_c0013.png,data/annotations/moema_seg/masks/r0000_c0013.png,r0000_c0013,330610.745,7387731.057,330713.145,7387833.457,EPSG:31983,1024,1024
data/annotations/moema_seg/images/r0000_c0014.png,data/annotations/moema_seg/masks/r0000_c0014.png,r0000_c0014,330713.145,7387731.057,330815.545,7387833.457,EPSG:31983,1024,1024
data/annotations/moema_seg/images/r0000_c0015.png,data/annotations/moema_seg/masks/r0000_c0015.png,r0000_c0015,330815.545,7387731.057,330917.945,7387833.457,EPSG:31983,1024,1024
data/annotations/moema_seg/images/r0000_c0016.png,data/annotations/moema_seg/masks/r0000_c0016.png,r0000_c0016,330917.945,7387731.057,331020.345,7387833.457,EPSG:31983,1024,1024
data/annotations/moema_seg/images/r0000_c0017.png,data/annotations/moema_seg/masks/r0000_c0017.png,r0000_c0017,331020.345,7387731.057,331122.745,7387833.457,EPSG:31983,1024,1024
data/annotations/moema_seg/images/r0000_c0018.png,data/annotations/moema_seg/masks/r0000_c0018.png,r0000_c0018,331122.745,7387731.057,331225.145,7387833.457,EPSG:31983,1024,1024
data/annotations/moema_seg/images/r0000_c0019.png,data/annotations/moema_seg/masks/r0000_c0019.png,r0000_c0019,331225.145,7387731.057,331327.545,7387833.457,EPSG:31983,1024,1024
data/annotations/moema_seg/images/r0000_c0020.png,data/annotations/moema_seg/masks/r0000_c0020.png,r0000_c0020,331327.545,7387731.057,331429.945,7387833.457,EPSG:31983,1024,1024
