image,mask,chip_id,xmin,ymin,xmax,ymax,crs,width_px,height_px
data/annotations/vila_olimpia_seg/images/r0000_c0000.png,data/annotations/vila_olimpia_seg/masks/r0000_c0000.png,r0000_c0000,327400.509,7388317.927,327502.909,7388420.327,EPSG:31983,1024,1024
data/annotations/vila_olimpia_seg/images/r0000_c0001.png,data/annotations/vila_olimpia_seg/masks/r0000_c0001.png,r0000_c0001,327502.909,7388317.927,327605.309,7388420.327,EPSG:31983,1024,1024
data/annotations/vila_olimpia_seg/images/r0000_c0002.png,data/annotations/vila_olimpia_seg/masks/r0000_c0002.png,r0000_c0002,327605.309,7388317.927,327707.709,7388420.327,EPSG:31983,1024,1024
data/annotations/vila_olimpia_seg/images/r0000_c0003.png,data/annotations/vila_olimpia_seg/masks/r0000_c0003.png,r0000_c0003,327707.709,7388317.927,327810.109,7388420.327,EPSG:31983,1024,1024
data/annotations/vila_olimpia_seg/images/r0000_c0004.png,data/annotations/vila_olimpia_seg/masks/r0000_c0004.png,r0000_c0004,327810.109,7388317.927,327912.509,7388420.327,EPSG:31983,1024,1024
data/annotations/vila_olimpia_seg/images/r0000_c0005.png,data/annotations/vila_olimpia_seg/masks/r0000_c0005.png,r0000_c0005,327912.509,7388317.927,328014.909,7388420.327,EPSG:31983,1024,1024
data/annotations/vila_olimpia_seg/images/r0000_c0006.png,data/annotations/vila_olimpia_seg/masks/r0000_c0006.png,r0000_c0006,328014.909,7388317.927,328117.309,7388420.327,EPSG:31983,1024,1024
data/annotations/vila_olimpia_seg/images/r0000_c0007.png,data/annotations/vila_olimpia_seg/masks/r0000_c0007.png,r0000_c0007,328117.309,7388317.927,328219.709,7388420.327,EPSG:31983,1024,1024
data/annotations/vila_olimpia_seg/images/r0000_c0008.png,data/annotations/vila_olimpia_seg/masks/r0000_c0008.png,r0000_c0008,328219.709,7388317.927,328322.109,7388420.327,EPSG:31983,1024,1024
data/annotations/vila_olimpia_seg/images/r0000_c0009.png,data/annotations/vila_olimpia_seg/masks/r0000_c0009.png,r0000_c0009,328322.109,7388317.927,328424.509,7388420.327,EPSG:31983,1024,1024
data/annotations/vila_olimpia_seg/images/r0000_c0010.png,data/annotations/vila_olimpia_seg/masks/r0000_c0010.png,r0000_c0010,328424.509,7388317.927,328526.909,7388420.327,EPSG:31983,1024,1024
data/annotations/vila_olimpia_seg/images/r0000_c0011.png,data/annotations/vila_olimpia_seg/masks/r0000_c0011.png,r0000_c0011,328526.909,7388317.927,328629.309,7388420.327,EPSG:31983,1024,1024
data/annotations/vila_olimpia_seg/images/r0000_c0012.png,data/annotations/vila_olimpia_seg/masks/r0000_c0012.png,r0000_c0012,328629.309,7388317.927,328731.709,7388420.327,EPSG:31983,1024,1024
data/annotations/vila_olimpia_seg/images/r0000_c0013.png,data/annotations/vila_olimpia_seg/masks/r0000_c0013.png,r0000_c0013,328731.709,7388317.927,328834.109,7388420.327,EPSG:31983,1024,1024
data/annotations/vila_olimpia_seg/images/r0000_c0014.png,data/annotations/vila_olimpia_seg/masks/r0000_c0014.png,r0000_c0014,328834.109,7388317.927,328936.509,7388420.327,EPSG:31983,1024,1024
data/annotations/vila_olimpia_seg/images/r0000_c0015.png,data/annotations/vila_olimpia_seg/masks/r0000_c0015.png,r0000_c0015,328936.509,7388317.927,329038.909,7388420.327,EPSG:31983,1024,1024
data/annotations/vila_olimpia_seg/images/r0000_c0016.png,data/annotations/vila_olimpia_seg/masks/r0000_c0016.png,r0000_c0016,329038.909,7388317.927,329141.309,7388420.327,EPSG:31983,1024,1024
data/annotations/vila_olimpia_seg/images/r0000_c0017.png,data/annotations/vila_olimpia_seg/masks/r0000_c0017.png,r0000_c0017,329141.309,7388317.927,329243.709,7388420.327,EPSG:31983,1024,1024
data/annotations/vila_olimpia_seg/images/r0000_c0018.png,data/annotations/vila_olimpia_seg/masks/r0000_c0018.png,r0000_c0018,329243.709,7388317.927,329346.109,7388420.327,EPSG:31983,1024,1024
data/annotations/vila_olimpia_seg/images/r0000_c0019.png,data/annotations/vila_olimpia_seg/masks/r0000_c0019.png,r0000_c0019,329346.109,7388317.927,329448.509,7388420.327,EPSG:31983,1024,1024
data/annotations/vila_olimpia_seg/images/r0001_c0000.png,data/annotations/vila_olimpia_seg/masks/r0001_c0000.png,r0001_c0000,327400.509,7388420.327,327502.909,7388522.727,EPSG:31983,1024,1024
data/annotations/vila_olimpia_seg/images/r0001_c0001.png,data/annotations/vila_olimpia_seg/masks/r0001_c0001.png,r0001_c0001,327502.909,7388420.327,327605.309,7388522.727,EPSG:31983,1024,1024
