epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,127.308,1.28141,2.27806,15.4797,1.0306,0,0.02451,0.09231,0.01234,0.0057,0.01823,0.03077,0.01047,0.00479,1.74153,3.01897,5.39415,1.39045,0,0.000660317,0.000660317,0.000660317
2,254.39,1.33755,2.06307,7.36221,1.02187,0,0.05565,0.03176,0.07956,0.04342,0.08263,0.04714,0.09147,0.03309,1.9506,4.36728,4.05762,1.82782,0,0.00131056,0.00131056,0.00131056
3,380.533,1.69305,2.30589,6.85862,1.39574,0,0.06539,0.15385,0.0246,0.00601,0.15884,0.23077,0.07943,0.0235,2.83991,5.16264,5.01214,2.67618,0,0.00194431,0.00194431,0.00194431
4,505.684,2.06842,2.31823,5.1779,1.45137,0,0.00714,0.09231,0.00154,0.00044,0.00395,0.06154,0.0009,0.00029,3.38945,33.1504,26.6458,4.94353,0,0.00192575,0.00192575,0.00192575
5,631.192,2.07578,2.24226,3.19575,1.48161,0,0.00455,0.92308,0.01816,0.00714,0.00463,0.93846,0.02431,0.00888,2.05799,2.96072,3.75143,1.74963,0,0.001901,0.001901,0.001901
6,755.367,1.76678,2.12484,3.75096,1.62841,0,0.26349,0.27692,0.17739,0.04645,0.36662,0.24615,0.29098,0.13662,2.10746,2.70144,3.29774,2.40199,0,0.00187625,0.00187625,0.00187625
7,880.251,1.88654,2.02052,2.54847,1.38729,0,0.52441,0.43077,0.50772,0.18591,0.55914,0.44882,0.55885,0.24497,1.99069,2.84164,2.53156,1.63327,0,0.0018515,0.0018515,0.0018515
8,1006.16,1.62967,1.86679,2.23651,1.28883,0,0.5627,0.53846,0.52724,0.20233,0.60497,0.56551,0.57745,0.27755,2.0701,2.67454,2.17896,1.69578,0,0.00182675,0.00182675,0.00182675
9,1132.29,1.81528,1.8991,2.14102,1.40445,0,0.33316,0.46154,0.33767,0.12969,0.45432,0.46154,0.48151,0.19222,2.14352,2.44406,2.6798,1.75164,0,0.001802,0.001802,0.001802
10,1265.3,1.75507,1.89481,2.00701,1.40026,0,0.50766,0.41538,0.44179,0.19951,0.59092,0.41538,0.51064,0.22821,1.92747,2.256,1.97573,1.55877,0,0.00177725,0.00177725,0.00177725
11,1391.86,1.76546,1.81792,1.9919,1.37294,0,0.34494,0.50769,0.34711,0.16551,0.3894,0.5887,0.39569,0.18547,1.81396,2.12522,2.06809,1.61566,0,0.0017525,0.0017525,0.0017525
12,1518.61,1.51749,1.6776,1.84834,1.17364,0,0.56015,0.66618,0.63916,0.30859,0.57266,0.59789,0.66721,0.36547,1.79956,2.17569,1.64234,1.47864,0,0.00172775,0.00172775,0.00172775
13,1645.08,1.38614,1.6576,1.86716,1.09527,0,0.72628,0.32308,0.51738,0.27007,0.67773,0.35595,0.53409,0.30039,1.77146,2.10895,2.49056,1.53035,0,0.001703,0.001703,0.001703
14,1771.1,1.48839,1.81515,1.90293,1.21365,0,0.59922,0.46154,0.51915,0.27939,0.58499,0.49231,0.55388,0.28953,1.59919,2.10402,1.93905,1.41266,0,0.00167825,0.00167825,0.00167825
